nld(p,4he)43Sc
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.000      0.205E+01      0.555E-01
   2      0.240      0.251E+01      0.760E-01
   3      0.480      0.352E+01      0.774E-01
   4      0.720      0.426E+01      0.112E+00
   5      0.960      0.520E+01      0.157E+00
   6      1.200      0.669E+01      0.211E+00
   7      1.440      0.903E+01      0.258E+00
   8      1.680      0.130E+02      0.358E+00
   9      1.920      0.157E+02      0.502E+00
  10      2.160      0.197E+02      0.696E+00
  11      2.400      0.224E+02      0.949E+00
  12      2.640      0.260E+02      0.118E+01
  13      2.880      0.314E+02      0.164E+01
  14      3.120      0.363E+02      0.195E+01
  15      3.360      0.397E+02      0.254E+01
  16      3.600      0.532E+02      0.330E+01
  17      3.840      0.703E+02      0.522E+01
  18      4.080      0.889E+02      0.687E+01
  19      4.320      0.781E+02      0.892E+01
  20      4.560      0.841E+02      0.114E+02
  21      4.800      0.945E+02      0.169E+02
  22      5.040      0.162E+03      0.281E+02
