NLD (p,p)46ti
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.023      0.771E+00      0.795E-02
   2      0.141      0.754E+00      0.751E-02
   3      0.259      0.752E+00      0.766E-02
   4      0.377      0.937E+00      0.108E-01
   5      0.494      0.111E+01      0.119E-01
   6      0.612      0.140E+01      0.149E-01
   7      0.730      0.221E+01      0.218E-01
   8      0.848      0.332E+01      0.324E-01
   9      0.966      0.338E+01      0.308E-01
  10      1.083      0.245E+01      0.249E-01
  11      1.201      0.166E+01      0.193E-01
  12      1.319      0.131E+01      0.156E-01
  13      1.437      0.111E+01      0.180E-01
  14      1.555      0.107E+01      0.178E-01
  15      1.672      0.122E+01      0.180E-01
  16      1.790      0.169E+01      0.193E-01
  17      1.908      0.284E+01      0.244E-01
  18      2.026      0.409E+01      0.369E-01
  19      2.144      0.398E+01      0.325E-01
  20      2.261      0.308E+01      0.264E-01
  21      2.379      0.277E+01      0.261E-01
  22      2.497      0.283E+01      0.339E-01
  23      2.615      0.311E+01      0.483E-01
  24      2.732      0.398E+01      0.581E-01
  25      2.850      0.607E+01      0.973E-01
  26      2.968      0.107E+02      0.128E+00
  27      3.086      0.155E+02      0.159E+00
  28      3.204      0.186E+02      0.201E+00
  29      3.321      0.207E+02      0.251E+00
  30      3.439      0.222E+02      0.244E+00
  31      3.557      0.245E+02      0.238E+00
  32      3.675      0.281E+02      0.309E+00
  33      3.793      0.336E+02      0.338E+00
  34      3.910      0.399E+02      0.371E+00
  35      4.028      0.408E+02      0.401E+00
  36      4.146      0.366E+02      0.409E+00
  37      4.264      0.323E+02      0.454E+00
  38      4.382      0.336E+02      0.456E+00
  39      4.499      0.371E+02      0.493E+00
  40      4.617      0.410E+02      0.437E+00
  41      4.735      0.444E+02      0.570E+00
  42      4.853      0.448E+02      0.572E+00
  43      4.971      0.441E+02      0.576E+00
  44      5.088      0.471E+02      0.728E+00
  45      5.206      0.550E+02      0.726E+00
  46      5.324      0.627E+02      0.820E+00
  47      5.442      0.685E+02      0.887E+00
  48      5.560      0.736E+02      0.108E+01
  49      5.677      0.761E+02      0.987E+00
  50      5.795      0.691E+02      0.115E+01
  51      5.913      0.665E+02      0.116E+01
  52      6.031      0.791E+02      0.148E+01
  53      6.149      0.956E+02      0.179E+01
  54      6.266      0.106E+03      0.171E+01
  55      6.384      0.108E+03      0.216E+01
  56      6.502      0.112E+03      0.219E+01
  57      6.620      0.123E+03      0.272E+01
  58      6.738      0.137E+03      0.313E+01
  59      6.855      0.151E+03      0.380E+01
  60      6.973      0.169E+03      0.438E+01
  61      7.091      0.194E+03      0.526E+01
  62      7.209      0.214E+03      0.685E+01
  63      7.327      0.248E+03      0.827E+01
  64      7.444      0.267E+03      0.100E+02
  65      7.562      0.272E+03      0.120E+02
  66      7.680      0.262E+03      0.150E+02
  67      7.798      0.241E+03      0.163E+02
  68      7.916      0.257E+03      0.169E+02
  69      8.033      0.313E+03      0.306E+02
  70      8.151      0.342E+03      0.475E+02
  71      8.269      0.284E+03      0.107E+03
