ndl(3he,4he)fe56
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.002      0.252E+00      0.233E-01
   2      0.240      0.353E+00      0.290E-01
   3      0.479      0.427E+00      0.412E-01
   4      0.717      0.708E+00      0.494E-01
   5      0.955      0.956E+00      0.582E-01
   6      1.193      0.999E+00      0.824E-01
   7      1.432      0.894E+00      0.987E-01
   8      1.670      0.990E+00      0.124E+00
   9      1.908      0.197E+01      0.197E+00
  10      2.147      0.380E+01      0.238E+00
  11      2.385      0.474E+01      0.345E+00
  12      2.623      0.587E+01      0.411E+00
  13      2.862      0.682E+01      0.500E+00
  14      3.100      0.814E+01      0.896E+00
  15      3.338      0.159E+02      0.135E+01
  16      3.577      0.209E+02      0.157E+01
  17      3.815      0.230E+02      0.215E+01
  18      4.053      0.233E+02      0.302E+01
  19      4.292      0.329E+02      0.413E+01
  20      4.530      0.362E+02      0.441E+01
  21      4.768      0.615E+02      0.671E+01
  22      5.007      0.449E+02      0.692E+01
  23      5.245      0.670E+02      0.100E+02
  24      5.483      0.879E+02      0.124E+02
  25      5.722      0.825E+02      0.159E+02
  26      5.960      0.100E+03      0.213E+02
  27      6.198      0.111E+03      0.298E+02
  28      6.437      0.140E+03      0.413E+02
  29      6.675      0.156E+03      0.430E+02
  30      6.913      0.210E+03      0.749E+02
  31      7.152      0.315E+03      0.891E+02
  32      7.390      0.295E+03      0.126E+03
  33      7.628      0.334E+03      0.204E+03
  34      7.867      0.340E+03      0.201E+03
  35      8.105      0.390E+03      0.309E+03
  36      8.343      0.833E+03      0.409E+03
  37      8.582      0.174E+04      0.664E+03
  38      8.820      0.205E+04      0.801E+03
  39      9.058      0.263E+04      0.134E+04
  40      9.297      0.164E+04      0.171E+04
