rhomo94he3
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1    .232400      0.144E+01      0.100E+00
   2    .487400      0.157E+01      0.138E+00
   3    .742400      0.169E+01      0.147E+00
   4    .997400      0.354E+01      0.210E+00
   5   1.252400      0.660E+01      0.291E+00
   6   1.507400      0.545E+01      0.331E+00
   7   1.762400      0.845E+01      0.461E+00
   8   2.017400      0.939E+01      0.676E+00
   9   2.272400      0.145E+02      0.103E+01
  10   2.527400      0.266E+02      0.143E+01
  11   2.782400      0.450E+02      0.181E+01
  12   3.037400      0.649E+02      0.236E+01
  13   3.292400      0.801E+02      0.446E+01
  14   3.547400      0.102E+03      0.543E+01
  15   3.802400      0.147E+03      0.839E+01
  16   4.057400      0.155E+03      0.119E+02
  17   4.312400      0.181E+03      0.146E+02
  18   4.567400      0.260E+03      0.238E+02
  19   4.822400      0.452E+03      0.301E+02
  20   5.077400      0.587E+03      0.391E+02
  21   5.332400      0.677E+03      0.627E+02
  22   5.587400      0.724E+03      0.772E+02
  23   5.842400      0.134E+04      0.152E+03
  24   6.097400      0.154E+04      0.202E+03
  25   6.352400      0.266E+04      0.398E+03
  26   6.607400      0.185E+04      0.771E+03
