rhomo96he4new
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.131      0.400E+00      0.145E+00
   2      0.371      0.717E+00      0.198E+00
   3      0.611      0.121E+01      0.263E+00
   4      0.851      0.178E+01      0.396E+00
   5      1.091      0.269E+01      0.573E+00
   6      1.331      0.481E+01      0.743E+00
   7      1.571      0.773E+01      0.111E+01
   8      1.811      0.107E+02      0.152E+01
   9      2.051      0.127E+02      0.176E+01
  10      2.291      0.186E+02      0.262E+01
  11      2.531      0.332E+02      0.367E+01
  12      2.771      0.497E+02      0.487E+01
  13      3.011      0.708E+02      0.644E+01
  14      3.251      0.114E+03      0.969E+01
  15      3.491      0.146E+03      0.153E+02
  16      3.731      0.179E+03      0.225E+02
  17      3.971      0.289E+03      0.347E+02
  18      4.211      0.344E+03      0.455E+02
  19      4.451      0.460E+03      0.684E+02
  20      4.691      0.745E+03      0.109E+03
  21      4.931      0.888E+03      0.137E+03
  22      5.171      0.113E+04      0.176E+03
  23      5.411      0.169E+04      0.266E+03
  24      5.651      0.157E+04      0.321E+03
  25      5.891      0.183E+04      0.351E+03
  26      6.131      0.270E+04      0.516E+03
  27      6.371      0.386E+04      0.698E+03
  28      6.611      0.564E+04      0.110E+04
  29      6.851      0.599E+04      0.136E+04
  30      7.091      0.680E+04      0.234E+04
