ndl(3he,3he)sn117
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.015      0.112E+01      0.453E-01
   2      0.135      0.170E+01      0.532E-01
   3      0.255      0.264E+01      0.664E-01
   4      0.375      0.316E+01      0.750E-01
   5      0.495      0.336E+01      0.781E-01
   6      0.615      0.380E+01      0.958E-01
   7      0.735      0.387E+01      0.123E+00
   8      0.855      0.445E+01      0.142E+00
   9      0.975      0.588E+01      0.189E+00
  10      1.095      0.795E+01      0.229E+00
  11      1.215      0.119E+02      0.276E+00
  12      1.335      0.136E+02      0.304E+00
  13      1.455      0.175E+02      0.472E+00
  14      1.575      0.216E+02      0.583E+00
  15      1.695      0.274E+02      0.675E+00
  16      1.815      0.346E+02      0.827E+00
  17      1.935      0.467E+02      0.102E+01
  18      2.055      0.630E+02      0.101E+01
  19      2.175      0.862E+02      0.147E+01
  20      2.295      0.106E+03      0.199E+01
  21      2.415      0.128E+03      0.260E+01
  22      2.535      0.147E+03      0.321E+01
  23      2.655      0.157E+03      0.398E+01
  24      2.775      0.174E+03      0.511E+01
  25      2.895      0.202E+03      0.591E+01
  26      3.015      0.227E+03      0.731E+01
  27      3.135      0.302E+03      0.884E+01
  28      3.255      0.375E+03      0.119E+02
  29      3.375      0.479E+03      0.149E+02
  30      3.495      0.562E+03      0.184E+02
  31      3.615      0.694E+03      0.206E+02
  32      3.735      0.787E+03      0.278E+02
  33      3.855      0.980E+03      0.322E+02
  34      3.975      0.121E+04      0.405E+02
  35      4.095      0.148E+04      0.476E+02
  36      4.215      0.170E+04      0.597E+02
  37      4.335      0.212E+04      0.803E+02
  38      4.455      0.257E+04      0.109E+03
  39      4.575      0.304E+04      0.121E+03
  40      4.695      0.373E+04      0.167E+03
  41      4.815      0.393E+04      0.191E+03
  42      4.935      0.477E+04      0.254E+03
  43      5.055      0.670E+04      0.348E+03
  44      5.175      0.825E+04      0.428E+03
  45      5.295      0.810E+04      0.541E+03
  46      5.415      0.996E+04      0.721E+03
  47      5.535      0.147E+05      0.109E+04
  48      5.655      0.162E+05      0.134E+04
  49      5.775      0.211E+05      0.195E+04
  50      5.895      0.320E+05      0.266E+04
  51      6.015      0.317E+05      0.354E+04
  52      6.135      0.308E+05      0.537E+04
  53      6.255      0.418E+05      0.801E+04
  54      6.375      0.460E+05      0.122E+05
  55      6.495      0.811E+05      0.258E+05
