119sn(3he,4he)118sn
  No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.280      0.175E+00      0.489E-01
   2      0.640      0.320E+00      0.110E+00
   3      1.000      0.474E+00      0.178E+00
   4      1.360      0.213E+01      0.500E+00
   5      1.720      0.486E+01      0.852E+00
   6      2.080      0.632E+01      0.182E+01
   7      2.440      0.168E+02      0.403E+01
   8      2.800      0.349E+02      0.698E+01
   9      3.160      0.601E+02      0.148E+02
  10      3.520      0.129E+03      0.311E+02
  11      3.880      0.281E+03      0.653E+02
  12      4.240      0.353E+03      0.101E+03
  13      4.600      0.949E+03      0.213E+03
  14      4.960      0.124E+04      0.393E+03
  15      5.320      0.268E+04      0.821E+03
  16      5.680      0.343E+04      0.139E+04
  17      6.040      0.576E+04      0.261E+04
  18      6.400      0.118E+05      0.507E+04
  19      6.760      0.129E+05      0.756E+04
  20      7.120      0.454E+05      0.223E+05
  21      7.480      0.102E+06      0.549E+05
