 119sn(3he,3he)119sn
  No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.140      0.117E+02      0.166E+01
   2      0.380      0.194E+02      0.212E+01
   3      0.620      0.128E+02      0.235E+01
   4      0.860      0.178E+02      0.328E+01
   5      1.100      0.493E+02      0.519E+01
   6      1.340      0.735E+02      0.719E+01
   7      1.580      0.776E+02      0.104E+02
   8      1.820      0.114E+03      0.178E+02
   9      2.060      0.287E+03      0.263E+02
  10      2.300      0.408E+03      0.379E+02
  11      2.540      0.472E+03      0.551E+02
  12      2.780      0.481E+03      0.793E+02
  13      3.020      0.763E+03      0.111E+03
  14      3.260      0.119E+04      0.176E+03
  15      3.500      0.132E+04      0.210E+03
  16      3.740      0.139E+04      0.321E+03
  17      3.980      0.221E+04      0.470E+03
  18      4.220      0.318E+04      0.791E+03
  19      4.460      0.594E+04      0.134E+04
  20      4.700      0.430E+04      0.138E+04
  21      4.940      0.916E+04      0.303E+04
  22      5.180      0.113E+05      0.591E+04
  23      5.420      0.139E+05      0.102E+05
  24      5.660      0.441E+05      0.243E+05
  25      5.900      0.931E+05      0.660E+05
