NLD (3he,4he)121sn
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.030      0.590E+01      0.454E+00
   2      0.150      0.787E+01      0.562E+00
   3      0.270      0.619E+01      0.620E+00
   4      0.390      0.478E+01      0.810E+00
   5      0.510      0.392E+01      0.102E+01
   6      0.630      0.555E+01      0.107E+01
   7      0.750      0.522E+01      0.137E+01
   8      0.870      0.115E+02      0.162E+01
   9      0.990      0.191E+02      0.191E+01
  10      1.110      0.273E+02      0.211E+01
  11      1.230      0.287E+02      0.322E+01
  12      1.350      0.314E+02      0.354E+01
  13      1.470      0.223E+02      0.347E+01
  14      1.590      0.302E+02      0.497E+01
  15      1.710      0.437E+02      0.606E+01
  16      1.830      0.619E+02      0.653E+01
  17      1.950      0.933E+02      0.986E+01
  18      2.070      0.119E+03      0.112E+02
  19      2.190      0.165E+03      0.145E+02
  20      2.310      0.178E+03      0.180E+02
  21      2.430      0.204E+03      0.225E+02
  22      2.550      0.218E+03      0.310E+02
  23      2.670      0.294E+03      0.366E+02
  24      2.790      0.317E+03      0.439E+02
  25      2.910      0.435E+03      0.568E+02
  26      3.030      0.452E+03      0.746E+02
  27      3.150      0.554E+03      0.832E+02
  28      3.270      0.662E+03      0.109E+03
  29      3.390      0.782E+03      0.148E+03
  30      3.510      0.956E+03      0.176E+03
  31      3.630      0.101E+04      0.208E+03
  32      3.750      0.159E+04      0.276E+03
  33      3.870      0.190E+04      0.376E+03
  34      3.990      0.173E+04      0.470E+03
  35      4.110      0.246E+04      0.673E+03
  36      4.230      0.279E+04      0.947E+03
  37      4.350      0.307E+04      0.110E+04
  38      4.470      0.278E+04      0.174E+04
  39      4.590      0.359E+04      0.224E+04
  40      4.710      0.405E+04      0.430E+04
  41      4.830      0.103E+05      0.766E+04
