162dy4rho
  No     Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.060      0.357E+01      0.633E+00
   2      0.180      0.468E+01      0.681E+00
   3      0.300      0.593E+01      0.901E+00
   4      0.420      0.420E+01      0.879E+00
   5      0.540      0.502E+01      0.120E+01
   6      0.660      0.558E+01      0.132E+01
   7      0.780      0.970E+01      0.160E+01
   8      0.900      0.120E+02      0.185E+01
   9      1.020      0.160E+02      0.217E+01
  10      1.140      0.203E+02      0.282E+01
  11      1.260      0.325E+02      0.292E+01
  12      1.380      0.399E+02      0.474E+01
  13      1.500      0.623E+02      0.577E+01
  14      1.620      0.840E+02      0.665E+01
  15      1.740      0.112E+03      0.850E+01
  16      1.860      0.137E+03      0.952E+01
  17      1.980      0.174E+03      0.999E+01
  18      2.100      0.227E+03      0.129E+02
  19      2.220      0.300E+03      0.195E+02
  20      2.340      0.432E+03      0.198E+02
  21      2.460      0.588E+03      0.268E+02
  22      2.580      0.641E+03      0.341E+02
  23      2.700      0.872E+03      0.445E+02
  24      2.820      0.985E+03      0.597E+02
  25      2.940      0.139E+04      0.716E+02
  26      3.060      0.172E+04      0.107E+03
  27      3.180      0.199E+04      0.147E+03
  28      3.300      0.251E+04      0.155E+03
  29      3.420      0.266E+04      0.196E+03
  30      3.540      0.322E+04      0.250E+03
  31      3.660      0.414E+04      0.289E+03
  32      3.780      0.585E+04      0.442E+03
  33      3.900      0.690E+04      0.562E+03
  34      4.020      0.724E+04      0.690E+03
  35      4.140      0.119E+05      0.958E+03
  36      4.260      0.119E+05      0.893E+03
  37      4.380      0.166E+05      0.140E+04
  38      4.500      0.191E+05      0.162E+04
  39      4.620      0.209E+05      0.186E+04
  40      4.740      0.282E+05      0.268E+04
  41      4.860      0.342E+05      0.335E+04
  42      4.980      0.422E+05      0.405E+04
  43      5.100      0.533E+05      0.467E+04
  44      5.220      0.612E+05      0.624E+04
  45      5.340      0.721E+05      0.764E+04
  46      5.460      0.843E+05      0.101E+05
  47      5.580      0.899E+05      0.125E+05
  48      5.700      0.147E+06      0.185E+05
  49      5.820      0.143E+06      0.278E+05
  50      5.940      0.168E+06      0.335E+05
  51      6.060      0.197E+06      0.497E+05
  52      6.180      0.196E+06      0.570E+05
  53      6.300      0.345E+06      0.103E+06
  54      6.420      0.459E+06      0.141E+06
  55      6.540      0.496E+06      0.236E+06
  56      6.660      0.625E+06      0.380E+06
  57      6.780      0.841E+06      0.526E+06
  58      6.900      0.147E+07      0.958E+06
  59      7.020      0.365E+07      0.228E+07
  60      7.140      0.954E+07      0.682E+07
  61      7.260      0.118E+08      0.840E+07
