nld(3he,4he)Dy163
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.015      0.181E+02      0.115E+01
   2      0.135      0.258E+02      0.118E+01
   3      0.255      0.394E+02      0.170E+01
   4      0.375      0.400E+02      0.207E+01
   5      0.495      0.509E+02      0.269E+01
   6      0.615      0.630E+02      0.291E+01
   7      0.735      0.864E+02      0.299E+01
   8      0.855      0.120E+03      0.398E+01
   9      0.975      0.140E+03      0.496E+01
  10      1.095      0.151E+03      0.711E+01
  11      1.215      0.162E+03      0.777E+01
  12      1.335      0.205E+03      0.101E+02
  13      1.455      0.259E+03      0.155E+02
  14      1.575      0.327E+03      0.188E+02
  15      1.695      0.417E+03      0.221E+02
  16      1.815      0.533E+03      0.273E+02
  17      1.935      0.634E+03      0.343E+02
  18      2.055      0.878E+03      0.421E+02
  19      2.175      0.108E+04      0.592E+02
  20      2.295      0.149E+04      0.686E+02
  21      2.415      0.180E+04      0.921E+02
  22      2.535      0.233E+04      0.136E+03
  23      2.655      0.293E+04      0.170E+03
  24      2.775      0.345E+04      0.227E+03
  25      2.895      0.380E+04      0.294E+03
  26      3.015      0.524E+04      0.376E+03
  27      3.135      0.601E+04      0.514E+03
  28      3.255      0.872E+04      0.678E+03
  29      3.375      0.761E+04      0.760E+03
  30      3.495      0.104E+05      0.115E+04
  31      3.615      0.150E+05      0.152E+04
  32      3.735      0.205E+05      0.229E+04
  33      3.855      0.212E+05      0.326E+04
  34      3.975      0.223E+05      0.409E+04
  35      4.095      0.419E+05      0.608E+04
  36      4.215      0.414E+05      0.939E+04
  37      4.335      0.513E+05      0.134E+05
  38      4.455      0.785E+05      0.229E+05
  39      4.575      0.718E+05      0.309E+05
  40      4.695      0.574E+05      0.411E+05
  41      4.815      0.106E+06      0.702E+05
  42      4.935      0.171E+06      0.140E+06
  43      5.055      0.483E+06      0.297E+06
 
