rhoEr166
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.025      0.562E+00      0.150E+00
   2      0.145      0.112E+01      0.206E+00
   3      0.265      0.181E+01      0.282E+00
   4      0.385      0.217E+01      0.362E+00
   5      0.505      0.228E+01      0.354E+00
   6      0.625      0.289E+01      0.435E+00
   7      0.745      0.422E+01      0.561E+00
   8      0.865      0.275E+01      0.448E+00
   9      0.985      0.476E+01      0.627E+00
  10      1.105      0.772E+01      0.893E+00
  11      1.225      0.107E+02      0.121E+01
  12      1.345      0.199E+02      0.167E+01
  13      1.465      0.231E+02      0.178E+01
  14      1.585      0.345E+02      0.271E+01
  15      1.705      0.617E+02      0.349E+01
  16      1.825      0.793E+02      0.462E+01
  17      1.945      0.122E+03      0.600E+01
  18      2.065      0.156E+03      0.792E+01
  19      2.185      0.191E+03      0.984E+01
  20      2.305      0.235E+03      0.136E+02
  21      2.425      0.297E+03      0.168E+02
  22      2.545      0.383E+03      0.212E+02
  23      2.665      0.453E+03      0.284E+02
  24      2.785      0.527E+03      0.353E+02
  25      2.905      0.657E+03      0.475E+02
  26      3.025      0.896E+03      0.608E+02
  27      3.145      0.118E+04      0.848E+02
  28      3.265      0.146E+04      0.107E+03
  29      3.385      0.167E+04      0.114E+03
  30      3.505      0.251E+04      0.174E+03
  31      3.625      0.291E+04      0.234E+03
  32      3.745      0.329E+04      0.237E+03
  33      3.865      0.447E+04      0.326E+03
  34      3.985      0.641E+04      0.452E+03
  35      4.105      0.690E+04      0.599E+03
  36      4.225      0.939E+04      0.762E+03
  37      4.345      0.116E+05      0.947E+03
  38      4.465      0.165E+05      0.132E+04
  39      4.585      0.189E+05      0.168E+04
  40      4.705      0.203E+05      0.217E+04
  41      4.825      0.298E+05      0.303E+04
  42      4.945      0.333E+05      0.348E+04
  43      5.065      0.354E+05      0.436E+04
  44      5.185      0.575E+05      0.640E+04
  45      5.305      0.738E+05      0.785E+04
  46      5.425      0.108E+06      0.120E+05
  47      5.545      0.105E+06      0.138E+05
  48      5.665      0.130E+06      0.192E+05
  49      5.785      0.180E+06      0.309E+05
  50      5.905      0.224E+06      0.385E+05
  51      6.025      0.267E+06      0.502E+05
  52      6.145      0.344E+06      0.789E+05
  53      6.265      0.470E+06      0.103E+06
  54      6.385      0.430E+06      0.131E+06
  55      6.505      0.657E+06      0.201E+06
  56      6.625      0.701E+06      0.359E+06
  57      6.745      0.107E+07      0.601E+06
  58      6.865      0.153E+07      0.758E+06
  59      6.985      0.285E+07      0.109E+07
  60      7.105      0.227E+07      0.187E+07
