rho171yb4he
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.000      0.855E+01      0.734E+00
   2      0.120      0.178E+02      0.115E+01
   3      0.240      0.325E+02      0.163E+01
   4      0.360      0.388E+02      0.224E+01
   5      0.480      0.382E+02      0.294E+01
   6      0.600      0.350E+02      0.300E+01
   7      0.720      0.409E+02      0.372E+01
   8      0.840      0.611E+02      0.455E+01
   9      0.960      0.966E+02      0.661E+01
  10      1.080      0.143E+03      0.115E+02
  11      1.200      0.205E+03      0.118E+02
  12      1.320      0.243E+03      0.146E+02
  13      1.440      0.298E+03      0.194E+02
  14      1.560      0.390E+03      0.306E+02
  15      1.680      0.479E+03      0.363E+02
  16      1.800      0.638E+03      0.522E+02
  17      1.920      0.994E+03      0.694E+02
  18      2.040      0.988E+03      0.742E+02
  19      2.160      0.111E+04      0.101E+03
  20      2.280      0.167E+04      0.136E+03
  21      2.400      0.201E+04      0.171E+03
  22      2.520      0.277E+04      0.225E+03
  23      2.640      0.361E+04      0.289E+03
  24      2.760      0.458E+04      0.422E+03
  25      2.880      0.532E+04      0.474E+03
  26      3.000      0.657E+04      0.724E+03
  27      3.120      0.831E+04      0.866E+03
  28      3.240      0.104E+05      0.112E+04
  29      3.360      0.133E+05      0.146E+04
  30      3.480      0.172E+05      0.171E+04
  31      3.600      0.219E+05      0.244E+04
  32      3.720      0.301E+05      0.365E+04
  33      3.840      0.348E+05      0.500E+04
  34      3.960      0.452E+05      0.630E+04
  35      4.080      0.501E+05      0.792E+04
  36      4.200      0.531E+05      0.108E+05
  37      4.320      0.931E+05      0.151E+05
  38      4.440      0.103E+06      0.248E+05
  39      4.560      0.986E+05      0.281E+05
  40      4.680      0.106E+06      0.505E+05
  41      4.800      0.145E+06      0.623E+05
  42      4.920      0.237E+06      0.969E+05
  43      5.040      0.359E+06      0.128E+06
  44      5.160      0.381E+06      0.222E+06
